INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (1, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (20, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (21, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (22, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (23, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (24, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (25, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (26, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (27, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (28, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (29, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (30, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (31, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (32, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (33, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (34, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (35, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (36, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (37, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (38, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (39, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (40, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (41, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (42, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (43, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (44, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (45, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (46, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (47, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (48, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (49, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (50, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (51, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (52, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (53, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (54, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (55, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (56, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (57, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (58, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (59, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (60, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (61, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (62, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (63, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (64, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (65, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (66, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (67, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (68, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (69, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (70, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (71, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (72, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (73, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (74, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (75, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (76, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (77, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (78, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (79, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (80, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (81, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (82, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (83, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (84, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (85, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (86, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (87, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (88, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (89, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (90, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (91, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (92, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (93, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (94, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (95, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (96, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (97, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (98, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (99, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (100, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (101, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (102, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (103, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (104, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (105, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (106, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (107, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (108, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (109, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (110, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (111, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (112, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (113, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (114, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (115, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (116, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (117, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (118, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (119, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (120, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (121, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (122, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (123, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (124, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (125, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (126, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (127, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (128, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (129, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (130, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (131, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (132, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (133, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (134, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (135, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (136, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (137, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (138, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (139, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (140, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (141, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (142, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (143, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (144, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (145, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (146, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (147, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (148, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (149, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (150, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (151, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (152, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (153, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (154, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (155, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (156, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (157, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (158, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (159, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (160, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (161, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (162, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (163, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (164, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (165, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (166, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (167, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (168, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (169, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (170, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (171, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (172, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (173, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (174, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (175, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (176, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (177, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (178, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (179, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (180, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (181, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (182, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (183, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (184, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (185, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (186, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (187, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (188, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (189, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (190, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (191, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (192, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (193, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (194, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (195, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (196, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (197, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (198, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (199, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (200, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (201, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (202, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (203, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (204, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (205, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (206, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (207, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (208, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (209, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (210, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (211, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (212, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (213, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (214, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (215, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (216, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (217, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (218, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (219, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (220, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (221, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (222, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (223, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (224, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (225, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (226, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (227, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (228, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (229, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (230, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (231, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (232, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (233, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (234, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (235, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (236, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (237, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (238, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (239, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (240, '이상욱', '7605281111111');
