INSERT INTO MEMBERSHIP  VALUES (1, '5358531775858667', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (112, '9513574089287933', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (113, '8747281042825202', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (114, '2098251155252111', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (115, '8411854698616230', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (116, '3570548053273946', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (117, '7081398953436225', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (118, '3757802288509617', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (119, '6353606937043044', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (120, '6879742993103929', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (121, '3325733380872977', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (122, '1368846272016417', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (123, '4523817214647043', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (124, '3606676127730984', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (125, '5531129892940987', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (126, '3913941119000903', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (127, '0771660382992468', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (128, '1593422452793921', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (129, '4813806292833216', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (130, '8830644364264715', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (131, '1715570948770251', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (132, '0779066760800631', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (133, '9299003611673824', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (134, '3091520519728518', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (135, '6125295414983998', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (136, '1362922239360880', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (137, '6188421987933254', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (138, '0549995972399242', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (139, '5414182035405513', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (140, '8312856511328560', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (141, '8358343398690600', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (142, '4532336358276171', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (143, '5841368238827400', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (144, '6331352270040816', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (145, '0959806082031635', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (146, '6206842855178656', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (147, '3133588365865289', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (148, '9853955607903105', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (149, '2182320545098413', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (150, '0002788043654215', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (151, '8722824582523987', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (152, '3479905994342247', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (153, '1591711021570072', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (154, '9846677776568140', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (155, '3639109548280696', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (156, '4107847349022142', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (157, '2632190327376358', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (158, '1402293994849605', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (159, '2120466693414144', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (160, '6375326365914236', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (161, '7243129137721725', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (162, '2850077617942554', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (163, '4814627441594006', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (164, '0881436662576676', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (165, '1376476861004158', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (166, '0127810572570060', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (167, '4367894613620476', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (168, '8558546488669515', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (169, '8980368580097733', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (170, '1983152226040599', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (171, '0166850551218528', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (172, '4020161731598383', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (173, '6575352148049828', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (174, '5622402330132677', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (175, '3750565671183366', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (176, '7575454327285584', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (177, '5543334965193930', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (178, '0488049948784063', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (179, '2788623727290686', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (180, '1162525343775541', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (181, '1125733715949399', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (182, '4645494867655961', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (183, '2504063433666841', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (184, '6409869461047190', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (185, '0501058943558274', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (186, '8028450241503361', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (187, '6310725786618918', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (188, '0236391883512623', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (189, '7779170305427880', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (190, '6491775119159651', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (191, '0842609872976460', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (192, '7767527176513340', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (193, '9849739199365102', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (194, '1135290369671701', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (195, '3522679391545275', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (196, '0360343448288650', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (197, '4695386069590506', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (198, '6450770598963848', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (199, '2465115549304872', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (200, '5952641789004869', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (201, '9792374227033638', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (202, '5565743971162792', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (203, '8153307633885671', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (204, '0763776669060225', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (205, '1030323532199578', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (206, '3809344799161583', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (207, '7558584661495728', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (208, '0789019582944633', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (209, '5939018442396890', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (210, '7505052632485700', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (211, '2486513039633650', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (212, '1835270723065381', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (213, '1614832882390561', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (214, '3957376822885949', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (215, '0219180832544939', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (216, '5803048614202461', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (217, '6613026364474775', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (218, '2169207359883144', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (219, '9420274410447343', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (220, '2947928011242687', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (221, '3436245375204024', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (222, '5729889789956931', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (223, '4640260423868941', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (224, '6929861109852653', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (225, '7613617858860623', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (226, '3959003889359880', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (227, '4713385477170202', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (228, '3035571328634213', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (229, '9366313510337180', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (230, '5427942371567316', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (231, '6434725380860122', 'SHINHAN', 10000, sysdate, 1, '1201'); 
INSERT INTO MEMBERSHIP  VALUES (232, '0390943918209738', 'SHINHAN', 10000, sysdate, 1, '1201'); 
